longitude,count
-118.1846025,13
-118.1923402,12
-118.1801708,12
-118.1818945,12
-118.1797797,12
-118.1794782,12
-118.1795944,12
-118.1976086,12
-118.1731751,12
-118.1675194,12
-118.1790548,12
-118.1963741,12
-118.1970582,12
-118.2195435,12
-118.1790288,12
-118.1678456,12
-118.1921484,12
-118.1783433,12
-118.2009988,12
-118.1017292,12
-118.1739631,12
-118.082624,12
-118.2079903,12
-118.1761587,12
-118.0739962,12
-118.1948138,12
-118.17468,12
-118.0841995,12
-118.1898806,12
-118.1659088,12
-118.1734456,12
-118.0919287,12
-118.1893383,12
-118.1684703,12
-118.1866865,12
-118.1181199,12
-118.1847362,12
-118.1817775,12
-118.1763478,12
-118.1850101,12
-118.0482752,12
-118.1965331,12
-118.0694365,12
-118.2021467,12
-118.0927281,12
-118.2024198,12
-118.1950758,12
-118.1741748,12
-118.2121803,12
-118.2006218,12
-118.1849681,12
-118.2101233,12
-118.2034938,12
-118.1575591,12
-118.1892678,12
-118.1673638,12
-118.1664374,12
-118.1882448,12
-118.1963808,12
-118.2119827,12
-118.1736372,12
-118.1930072,12
-118.1945212,12
-118.1008083,12
-118.1987084,12
-118.1848329,12
-118.1866651,12
-118.1674258,12
-118.13794,12
-118.0879898,12
-118.1353803,12
-118.1961716,12
-118.1839623,12
-118.1751347,12
-118.2151692,12
-118.198042,12
-118.0682762,12
-118.1791662,11
-118.1208852,11
-118.2046518,11
-118.191754,11
-118.1676694,11
-118.1741779,11
-118.0927246,11
-118.1279387,11
-118.1887403,11
-118.1064156,11
-118.0965248,11
-118.2143006,11
-118.0504462,11
-118.2075106,11
-118.1801132,11
-118.188935,11
-118.1687299,11
-118.1606091,11
-118.1803685,11
-118.1804684,11
-118.1992729,11
-118.1644052,11
-118.1647702,11
-118.1777828,11
-118.2002407,11
-118.1589358,11
-118.1358258,11
-118.1480942,11
-118.1859397,11
-118.1791243,11
-118.1910842,11
-118.1067168,11
-118.1871827,11
-118.1323322,11
-118.2109272,11
-118.178389,11
-118.1741269,11
-118.1892889,11
-118.1252392,11
-118.2100224,11
-118.1730434,11
-118.1621653,11
-118.1962355,11
-118.1553534,11
-118.1845225,11
-118.1876672,11
-118.0995642,11
-118.177967,11
-117.8301865,11
-118.1761434,11
-118.1050507,11
-118.1222289,11
-118.1763442,11
-118.1357205,11
-118.1857965,11
-118.1566013,11
-118.1793942,11
-118.1890156,11
-118.2035007,11
-118.0541908,11
-118.14153,11
-118.1828906,11
-118.2075447,11
-118.171754,11
-118.0718116,10
-118.1656376,10
-118.1824194,10
-118.182288,10
-118.1706748,10
-118.1860969,10
-118.0912177,10
-118.1937358,10
-118.1720092,10
-118.1743395,10
-118.1609526,10
-118.3308025,10
-118.0717802,10
-118.2073962,10
-118.1079172,10
-118.1519938,10
-118.2151527,10
-118.1978643,10
-118.173076,10
-118.1709127,10
-118.1676859,10
-118.1678048,10
-118.154242,10
-118.2119199,10
-118.1394618,10
-118.1855641,10
-118.1892691,10
-118.1098603,10
-118.1567827,10
-118.1752335,10
-118.1561696,10
-118.1890766,10
-118.137421,10
-118.1976743,10
