,animal_id,animal_name
8029,A672723,FALCON 3
8150,A740375,BABY #2
8230,A741235,KITTEN 3
8231,A741234,KITTEN 2
8245,A740853,OPOSSUM 6
8246,A740855,OPOSSUM 8
8247,A740849,OPOSSUM 2
8248,A740856,OPOSSUM 9
8294,A694809,*DESTINY KITTY 1
8295,A694811,*DESTINY KITTY 3
8349,A695647,*METZ 2
8351,A695650,*METZ 5
8352,A695653,*METZ 8
8474,A660009,BABY 3
8506,A682704,BABY3
8577,A628134,628134
8668,A681737,KITTEN4
8672,A639279,#2
8677,A741624,KITTEN 6
8678,A741620,KITTEN 2
8679,A741625,KITTEN 7
8997,A701197,PINK1
9285,A627670,627670
9449,A738616,KITTEN 4
9507,A742455,AQUARIUS 2
9626,A653775,KITTEN 3
9842,A704441,P1
9846,A695758,*CASPIAN 1
9917,A727163,CAT 8
9956,A685024,*OLIVE 2
10190,A702789,KITTEN 1
10427,A712407,PUPPY 3
10428,A712410,PUPPY 5
10602,A702900,KITTEN 3
10603,A702902,KITTEN 5
10634,A680820,POSSUM2
10635,A680826,POSSUM6
10889,A691110,*PASADENA 5
11013,A744237,DUCK 3
11075,A698454,PUPPY MALTESE2
11129,A638453,#1
11132,A638456,#2
11269,A738927,KITTEN 5
11270,A738921,KITTEN 1
11295,A694732,TWIN 1
11342,A733948,UNKNOWN 1
11372,A712293,PUPPY 3
11373,A712291,PUPPY 1
11374,A712292,PUPPY 2
11375,A712296,PUPPY 6
11393,A740838,KITTEN 5
11395,A740843,KITTEN 3
11462,A717690,KITTEN 3
11784,A738617,KITTEN 1
11808,A741718,KITTEN 1
11809,A741721,KITTEN 4
11815,A701852,*LEWIS KITTEN 4
11816,A701850,*LEWIS KITTEN 2
11817,A701851,*LEWIS KITTEN 3
11818,A712496,PUPPY 1
11922,A612431,CAT 2
11926,A701859,*ATLANTIC CAT 1
11941,A741243,KITTEN 1
11954,A680893,KTTN1
11989,A699148,STRAY 1
12008,A712637,PUPPY4
12010,A712638,PUPPY5
12012,A712640,PUPPY7
12014,A712639,PUPPY6
12198,A606701,GUINEA #1
12653,A579036,RASCAL #2
12685,A657093,KAYLAH 5
12687,A657094,KAYLAH 4
12762,A664961,KITTEN 3
12764,A664962,KITTEN 4
12791,A742365,STEARNS 1
12793,A742370,STEARNS 3
12915,A699744,*REBS KITTEN 2
13090,A655923,GREY 4
13092,A655921,GREY 3
13406,A741497,DUCK 1
13493,A652969,4
13495,A652968,3
13497,A652961,2
13499,A652962,3
13501,A652970,5
13503,A652973,2
13717,A717285,KITTEN 1
13719,A717287,KITTEN 3
13727,A598995,KITTEN #2
13838,A637922,BABY CAT 4
13892,A740377,BABY #4
14040,A741237,KITTEN 5
14042,A741233,KITTEN 1
14044,A741236,KITTEN 4
14046,A584794,LINDEN 6 LB
14066,A670266,*MYRTLE7
14068,A740857,OPOSSUM 10
14070,A740852,OPOSSUM 5
14202,A694810,*DESTINY KITTY 2
14212,A670242,*WESLEY1
14214,A675994,*WESLEY7
14328,A695649,*METZ 4
14330,A695646,*METZ 1
14337,A741590,KITTEN 2
14501,A740864,KITTEN 3
14670,A682703,BABY2
14931,A634120,*THING 6
14933,A634143,*THING 26
14935,A634132,*THING 15
14937,A634139,*THING 21
14941,A634123,*THING 9
14943,A634110,BLACK MOM #2
14945,A634138,*THING 20
15004,A741619,KITTEN 1
15115,A673741,*GARDENIA 2
15249,A684540,CHICKEN12
15251,A684534,CHICKEN6
15253,A684535,CHICKEN7
15255,A684537,CHICKEN9
15257,A684543,CHICKEN15
15370,A738971,KITTEN 1
15438,A694817,*KITTEN 1
15464,A677434,LINDEN CAT 2
15505,A727956,JOANNE 3
15529,A738430,KITTEN 2
15531,A738431,KITTEN 3
15545,A628123,628123
15648,A717195,KITTEN 3
15906,A739168,KITTEN 4
16010,A722595,BABY 5
16012,A722599,BABY 9
16109,A675989,*KKATLANTIC42
16123,A655122,VILLA1001
16129,A665837,KKATLANTIC1
16131,A665842,KKATLANTIC6
16139,A671589,*KKATLANTIC23
16141,A665839,KKATLANTIC3
16145,A673823,*KKATLANTIC36
16171,A738750,OP BABY 2
16237,A628330,628330
16257,A673207,*BRAYTON 4
16278,A727960,JOANNE 1
16293,A699702,PUP 6
16346,A398828,PEPPER #2
16405,A740676,KITTEN 3
16508,A694797,*SALINAS KITTEN 3
16510,A694795,*SALINAS KITTEN 1
16576,A694737,TWIN 2
16756,A712295,PUPPY 5
16758,A712294,PUPPY 4
16786,A740834,KITTEN 4
16788,A740841,KITTEN 1
17030,A723735,BABY 4
17054,A741631,KITTEN 3
17242,A697647,*TNR 7
17334,A702215,*KIT1
17347,A605816,BABY 2
17489,A666950,PUPPY 1
17529,A677946,*GOLD STAR 1
17574,A738999,KITTEN 2
17575,A739000,KITTEN 3
17691,A740958,BIRD 1
17772,A721619,5
17776,A741719,KITTEN 2
17801,A712497,PUPPY 2
17906,A644293,DOG #2
17934,A698100,STRAY B 4
17935,A701860,*ATLANTIC CAT 2
17962,A612433,CAT 4
17965,A701856,*ORIZABA CAT 2
17967,A701857,*MYRTLE CAT 1
17969,A701853,*ORIZABA CAT 1
17996,A680895,KTTN2
18036,A712634,PUPPY1
18044,A712636,PUPPY3
18046,A712648,PUPPY9
18048,A712641,PUPPY8
18091,A595105,TURTLE 3
18093,A595106,TURTLE 4
18147,A706470,GRAY KITTEN 2
18163,A709047,*LILA'S KITTEN 3
18165,A709046,*LILA'S KITTEN 2
18352,A678543,*ORANGE 1
18423,A695258,*MOUSE 5
18584,A672037,COLONY 4
18586,A672034,COLONY 1
18587,A661991,RING ST 1
18620,A627427,627427
18626,A739568,KITTEN 3
18628,A739569,KITTEN 4
18643,A679432,OPOSSUM7
18645,A679431,OPOSSUM6
18647,A679428,OPOSSUM3
18649,A679427,OPOSSUM2
18724,A692735,*PUP 3
18726,A692742,*PUP 7
18768,A672131,*THING 1
18769,A672132,*THING 2
18863,A699782,*BLK KITTEN 5
18865,A699777,*BLK KITTEN 2
18867,A699780,*BLK KITTEN 4
18869,A736573,BABY 2
18934,A710955,PUPPY 1
18983,A699597,*MC3
19006,A738541,OP 3
19258,A739591,KITTEN 1
19394,A741244,KITTEN 2
19396,A741245,KITTEN 3
19430,A699150,STRAY 2
19432,A699151,STRAY 3
19434,A699152,STRAY 4
19552,A647035,BABY 4
19559,A647033,BABY 2
19602,A740004,KITTEN 1
19603,A740006,KITTEN 3
19831,A672724,FALCON 4
19929,A661889,CHICKEN 3
19957,A685014,*PALM 1
19959,A685015,*PALM 2
20015,A657097,KAYLAH 1
20022,A586280,M3
20073,A637921,BABY CAT 3
20110,A742378,STEARNS 6
20130,A740376,BABY #3
20148,A739543,KITTEN 1
20150,A739545,KITTEN 3
20247,A707026,PUPPY1
20250,A722256,ESTER-4
20302,A741238,KITTEN 6
20333,A740858,OPOSSUM 11
20335,A740854,OPOSSUM 7
20476,A694813,*DESTINY KITTY 5
20488,A670247,*WESLEY2
